productid,productname,productprice,customerid,customername,quantity,totalprice,area
146,Office Gifts,444,915,Jkl,2,2118,Ahmedabad
139,Office Gifts,525,914,Zaki,2,849,Ahmedabad
118,Customized Bottle,217,915,Naitik,6,760,Surat
117,Phone Cases,469,920,Dhyey,4,500,Kheda
122,Visiting Card,575,911,Abc,2,500,Vadodra
147,Animal Toys,399,913,Jkl,13,950,Ahmedabad
162,Customized Bottle,657,912,Vishwam,18,791,Ahmedabad
140,Show Piece,476,919,Dev,2,24279,Ahmedabad
129,Customized Bottle,681,919,Zaki,32,8914,Nadiad
111,Office Gifts,1299,911,Vishwam,65,500,Ahmedabad
118,Visiting Card,298,913,Hriday,4,500,Ahmedabad
152,Phone Cases,568,921,Abc,2,8127,Vadodra
153,Sipper,379,917,Jkl,9,11760,Nadiad
114,Animal Toys,189,919,Ghi,7,500,Surat
153,Sipper,571,918,Def,54,1291,Ahmedabad
129,Office Gifts,1299,914,Hriday,7,25000,Ahmedabad
117,Banner Printing,238,911,Dhruv,2,4710,Matar
120,Visiting Card,839,920,Zaki,30,5448,Kheda
143,Sipper,1116,914,Deep,2,6798,Vadodra
110,Office Gifts,1299,914,Abc,2,500,Ahmedabad
110,Hoardings,126,915,Jkl,7,723,Surat
125,Photo Frames,100,916,Ghi,5,1632,Surat
159,Photo Frames,265,914,Deep,2,500,Matar
136,Office Gifts,497,917,Vishwam,2,1381,Ahmedabad
120,Banner Printing,243,916,Hriday,10,500,Ahmedabad
121,Sipper,515,916,Def,6,574,Ahmedabad
152,Customized Bottle,377,912,Vishwam,11,654,Nadiad
143,Phone Cases,634,919,Vishwam,2,500,Vadodra
121,Office Gifts,365,914,Jkl,2,6729,Ahmedabad
110,Sipper,644,917,Dhyey,9,2826,Kheda
110,Visiting Card,536,915,Zaki,27,8616,Ahmedabad
114,Visiting Card,279,918,Abc,2,645,Vadodra
120,Show Piece,417,914,Ghi,2,710,Vadodra
113,Office Gifts,471,916,Dhyey,14,4381,Kheda
116,Customized Bottle,990,913,Dhruv,7,7513,Kheda
163,Customized Bottle,1299,919,Zaki,27,2312,Nadiad
115,Hoardings,404,917,Jkl,2,2495,Vadodra
133,Banner Printing,591,917,Ghi,2,1576,Ahmedabad
137,Customized Bottle,729,922,Jkl,9,25000,Vadodra
117,Visiting Card,171,911,Dev,51,8800,Ahmedabad
149,Lightning Gift,559,921,Jkl,2,500,Vadodra
151,Customized Bottle,504,922,Def,24,500,Nadiad
158,Customized Bottle,633,911,Def,15,10690,Nadiad
125,Photo Frames,447,916,Deep,4,21541,Surat
141,Show Piece,671,919,Hriday,2,1649,Ahmedabad
110,Lippan Art,380,912,Dhyey,4,500,Surat
131,Hoardings,431,917,Abc,25,4890,Surat
117,Office Gifts,372,911,Ghi,3,2208,Ahmedabad
120,Lippan Art,416,918,Abc,4,5685,Ahmedabad
151,Lightning Gift,604,919,Zaki,2,500,Ahmedabad
110,Visiting Card,586,911,Ghi,13,794,Ahmedabad
128,Banner Printing,383,920,Deep,2,5894,Ahmedabad
115,Show Piece,1299,911,Dhyey,2,7325,Ahmedabad
147,Sipper,347,917,Zaki,2,865,Ahmedabad
127,Animal Toys,424,919,Ghi,12,6655,Vadodra
116,Phone Cases,100,914,Deep,3,500,Surat
110,Photo Frames,581,911,Naitik,4,5494,Ahmedabad
113,Office Gifts,473,919,Dev,2,1011,Ahmedabad
110,Phone Cases,250,921,Dhruv,2,522,Vadodra
110,Hoardings,100,920,Dhruv,5,769,Surat
150,Lightning Gift,429,912,Jkl,2,849,Vadodra
143,Show Piece,562,919,Abc,2,500,Vadodra
140,Visiting Card,521,915,Dhyey,2,1147,Vadodra
115,Animal Toys,100,920,Deep,2,529,Surat
110,Phone Cases,178,919,Hriday,2,500,Vadodra
115,Hoardings,424,920,Dhruv,5,877,Nadiad
154,Photo Frames,347,912,Dhruv,31,11162,Ahmedabad
114,Phone Cases,1220,915,Abc,3,500,Ahmedabad
119,Animal Toys,100,917,Dhruv,16,25000,Surat
120,Customized Bottle,505,912,Vishwam,14,9696,Surat
129,Banner Printing,100,911,Naitik,2,500,Surat
154,Customized Bottle,100,918,Abc,14,6708,Surat
127,Visiting Card,318,918,Jkl,100,10106,Nadiad
143,Animal Toys,696,922,Dhruv,2,709,Vadodra
146,Photo Frames,762,922,Vishwam,2,775,Matar
114,Visiting Card,503,914,Naitik,2,1509,Ahmedabad
117,Lippan Art,447,911,Def,62,18120,Kheda
148,Animal Toys,660,919,Hriday,2,500,Surat
111,Animal Toys,100,911,Dhruv,6,500,Surat
110,Animal Toys,563,918,Def,100,18883,Ahmedabad
118,Customized Bottle,330,916,Zaki,8,8185,Ahmedabad
140,Photo Frames,425,914,Jkl,55,568,Matar
117,Visiting Card,393,915,Abc,81,5395,Ahmedabad
111,Customized Bottle,403,920,Hriday,10,500,Nadiad
144,Lippan Art,572,916,Def,9,614,Ahmedabad
112,Photo Frames,175,916,Dhyey,7,17523,Surat
110,Office Gifts,368,911,Def,2,754,Vadodra
143,Sipper,433,913,Hriday,2,500,Vadodra
148,Banner Printing,448,922,Jkl,14,500,Vadodra
147,Lippan Art,535,919,Abc,3,7036,Kheda
163,Customized Bottle,375,915,Naitik,4,5999,Nadiad
113,Customized Bottle,100,914,Abc,6,3067,Surat
121,Lippan Art,690,921,Ghi,14,7193,Ahmedabad
141,Banner Printing,100,912,Def,2,24115,Surat
147,Visiting Card,112,911,Abc,2,500,Surat
116,Sipper,482,918,Dhyey,100,5386,Kheda
117,Phone Cases,356,911,Abc,2,927,Vadodra
110,Photo Frames,567,917,Deep,64,832,Kheda
163,Customized Bottle,457,917,Jkl,2,23042,Ahmedabad
113,Photo Frames,507,922,Ghi,2,1087,Vadodra
118,Hoardings,100,916,Naitik,2,500,Surat
152,Photo Frames,543,919,Zaki,2,2468,Ahmedabad
134,Customized Bottle,1299,913,Dev,6,4490,Ahmedabad
119,Visiting Card,103,918,Abc,2,5905,Vadodra
120,Customized Bottle,647,914,Zaki,33,6194,Ahmedabad
140,Customized Bottle,422,911,Dev,100,8851,Nadiad
155,Customized Bottle,561,921,Jkl,2,4820,Vadodra
116,Show Piece,123,920,Dhyey,2,500,Surat
127,Show Piece,660,920,Deep,2,500,Ahmedabad
140,Phone Cases,553,921,Jkl,2,946,Vadodra
116,Banner Printing,100,912,Def,2,500,Ahmedabad
136,Lightning Gift,301,922,Dhruv,2,500,Vadodra
110,Lippan Art,497,918,Jkl,2,4680,Vadodra
160,Customized Bottle,311,912,Zaki,10,500,Kheda
115,Office Gifts,1299,913,Abc,6,8489,Ahmedabad
114,Banner Printing,374,918,Jkl,2,500,Vadodra
113,Lippan Art,388,917,Deep,4,2813,Kheda
110,Lightning Gift,494,911,Deep,2,1933,Vadodra
154,Visiting Card,525,916,Abc,2,1702,Ahmedabad
118,Hoardings,100,917,Abc,2,1485,Surat
141,Lightning Gift,597,917,Jkl,2,500,Vadodra
117,Visiting Card,235,918,Dhruv,7,693,Ahmedabad
116,Visiting Card,619,911,Hriday,5,7025,Ahmedabad
115,Lippan Art,367,914,Deep,9,989,Nadiad
158,Hoardings,348,914,Vishwam,2,9215,Ahmedabad
142,Phone Cases,496,919,Vishwam,2,500,Ahmedabad
118,Photo Frames,907,911,Abc,8,1197,Ahmedabad
153,Banner Printing,333,911,Naitik,2,500,Surat
149,Office Gifts,497,912,Vishwam,10,6275,Ahmedabad
113,Lightning Gift,130,912,Vishwam,2,697,Surat
151,Office Gifts,363,913,Vishwam,30,20346,Ahmedabad
110,Lightning Gift,431,914,Naitik,6,500,Surat
110,Photo Frames,1232,911,Abc,2,500,Ahmedabad
144,Visiting Card,811,917,Jkl,2,10453,Vadodra
148,Lightning Gift,685,915,Jkl,2,500,Vadodra
153,Phone Cases,658,918,Zaki,2,1424,Vadodra
113,Animal Toys,521,921,Jkl,2,500,Vadodra
110,Photo Frames,373,915,Vishwam,2,4037,Matar
136,Lightning Gift,655,922,Jkl,2,500,Vadodra
110,Banner Printing,146,912,Dev,5,500,Surat
113,Office Gifts,376,911,Dhruv,9,1390,Ahmedabad
128,Animal Toys,397,919,Dev,2,500,Ahmedabad
156,Animal Toys,300,914,Naitik,2,500,Vadodra
113,Lightning Gift,747,921,Jkl,2,500,Vadodra
148,Show Piece,342,922,Def,2,500,Vadodra
110,Lippan Art,496,920,Dhyey,8,5473,Kheda
118,Photo Frames,513,917,Deep,2,845,Vadodra
110,Lightning Gift,641,914,Jkl,2,2170,Ahmedabad
111,Lightning Gift,217,919,Dhruv,2,607,Surat
141,Photo Frames,248,921,Vishwam,6,500,Ahmedabad
130,Sipper,664,921,Hriday,2,604,Ahmedabad
113,Office Gifts,492,917,Dev,3,9062,Ahmedabad
138,Lightning Gift,655,916,Vishwam,2,2077,Vadodra
117,Lippan Art,354,912,Zaki,16,5537,Kheda
110,Phone Cases,283,915,Deep,2,1386,Surat
110,Lightning Gift,330,922,Ghi,4,500,Surat
112,Hoardings,368,911,Hriday,18,23738,Surat
110,Lippan Art,1299,914,Dhyey,12,3918,Kheda
163,Phone Cases,555,922,Vishwam,2,500,Vadodra
114,Lippan Art,292,916,Def,8,500,Vadodra
118,Lippan Art,187,911,Naitik,17,5973,Vadodra
115,Sipper,574,912,Deep,76,4703,Ahmedabad
110,Office Gifts,100,911,Dhruv,7,953,Surat
110,Banner Printing,443,911,Abc,2,982,Surat
120,Hoardings,499,919,Deep,34,9273,Surat
127,Lightning Gift,193,916,Dhruv,2,1126,Surat
147,Phone Cases,336,918,Vishwam,5,1578,Nadiad
115,Photo Frames,343,911,Abc,2,5659,Ahmedabad
149,Phone Cases,492,922,Dev,2,500,Vadodra
114,Visiting Card,1299,916,Ghi,2,4442,Ahmedabad
110,Sipper,1299,914,Deep,7,11259,Ahmedabad
110,Phone Cases,295,916,Dhruv,2,500,Matar
113,Lightning Gift,496,917,Def,15,1241,Ahmedabad
116,Phone Cases,508,918,Ghi,14,5926,Ahmedabad
153,Phone Cases,805,915,Vishwam,2,850,Vadodra
140,Phone Cases,706,922,Jkl,2,1737,Vadodra
147,Lippan Art,474,915,Dev,11,5128,Nadiad
114,Office Gifts,1299,913,Zaki,6,23227,Ahmedabad
145,Phone Cases,162,916,Naitik,4,25000,Surat
163,Customized Bottle,495,916,Zaki,30,25000,Nadiad
112,Hoardings,326,915,Dhyey,2,25000,Surat
147,Phone Cases,553,918,Vishwam,22,1349,Vadodra
114,Visiting Card,116,920,Jkl,2,1881,Surat
111,Photo Frames,479,917,Dhyey,7,16575,Kheda
153,Lightning Gift,520,919,Jkl,2,1626,Vadodra
118,Office Gifts,406,920,Hriday,4,4243,Nadiad
110,Lippan Art,459,916,Ghi,2,500,Nadiad
110,Hoardings,651,917,Dhruv,6,1834,Surat
153,Sipper,552,916,Jkl,2,500,Ahmedabad
144,Sipper,560,919,Dev,2,500,Ahmedabad
136,Visiting Card,1299,914,Abc,2,1224,Ahmedabad
120,Banner Printing,100,917,Naitik,2,500,Surat
110,Lippan Art,511,921,Zaki,4,2659,Kheda
119,Lightning Gift,502,917,Deep,2,937,Vadodra
115,Photo Frames,100,919,Ghi,5,500,Surat
118,Visiting Card,450,912,Dhyey,35,25000,Ahmedabad
144,Lightning Gift,345,920,Dhruv,2,500,Vadodra
111,Show Piece,611,914,Zaki,18,500,Ahmedabad
148,Phone Cases,789,922,Jkl,2,500,Vadodra
159,Phone Cases,658,913,Vishwam,2,1279,Vadodra
141,Office Gifts,445,920,Jkl,4,4225,Ahmedabad
147,Lippan Art,396,918,Ghi,10,500,Surat
145,Customized Bottle,554,916,Hriday,22,3844,Ahmedabad
154,Animal Toys,100,920,Abc,3,500,Surat
120,Photo Frames,1208,917,Deep,5,941,Matar
119,Banner Printing,373,914,Def,18,1666,Surat
142,Lippan Art,617,919,Def,4,17522,Kheda
113,Show Piece,562,912,Abc,100,1826,Ahmedabad
110,Hoardings,100,920,Abc,6,500,Surat
161,Customized Bottle,239,911,Zaki,10,9712,Nadiad
120,Banner Printing,473,916,Vishwam,2,781,Surat
112,Photo Frames,684,917,Deep,13,1931,Matar
127,Customized Bottle,263,916,Vishwam,2,1701,Vadodra
115,Visiting Card,369,919,Zaki,2,1301,Ahmedabad
113,Banner Printing,1281,912,Abc,4,25000,Ahmedabad
122,Animal Toys,100,917,Naitik,2,24950,Surat
146,Phone Cases,296,916,Vishwam,2,530,Vadodra
115,Phone Cases,536,917,Jkl,2,788,Ahmedabad
110,Lippan Art,100,912,Naitik,6,6820,Surat
110,Hoardings,100,912,Dhruv,31,1798,Surat
119,Hoardings,100,915,Dhruv,7,4490,Surat
116,Hoardings,249,920,Dhyey,8,2787,Ahmedabad
113,Banner Printing,409,911,Deep,2,1269,Surat
112,Animal Toys,151,922,Dhruv,2,929,Surat
115,Animal Toys,408,917,Hriday,2,500,Ahmedabad
111,Photo Frames,548,916,Deep,3,500,Matar
116,Phone Cases,458,917,Vishwam,4,1977,Vadodra
118,Visiting Card,382,916,Deep,3,500,Surat
112,Customized Bottle,455,916,Abc,6,7377,Ahmedabad
122,Lightning Gift,351,913,Zaki,12,25000,Nadiad
110,Animal Toys,305,915,Dhruv,6,1993,Surat
141,Animal Toys,1299,922,Ghi,5,500,Ahmedabad
112,Lippan Art,100,913,Dhruv,100,17080,Surat
111,Visiting Card,110,918,Dhruv,2,500,Surat
119,Customized Bottle,235,916,Naitik,21,683,Ahmedabad
110,Show Piece,456,917,Dhyey,9,930,Kheda
117,Visiting Card,438,921,Jkl,2,500,Vadodra
127,Customized Bottle,1299,917,Zaki,33,9729,Nadiad
122,Customized Bottle,512,914,Dhyey,2,15469,Matar
140,Show Piece,277,914,Def,2,500,Vadodra
154,Sipper,613,920,Jkl,2,1690,Vadodra
122,Visiting Card,518,913,Dev,5,12994,Ahmedabad
117,Animal Toys,526,921,Def,2,5280,Ahmedabad
114,Visiting Card,187,920,Abc,2,776,Surat
139,Office Gifts,529,911,Naitik,2,1447,Ahmedabad
115,Office Gifts,1299,918,Vishwam,17,4091,Ahmedabad
161,Visiting Card,142,916,Naitik,6,1656,Ahmedabad
146,Show Piece,562,918,Ghi,2,500,Vadodra
141,Visiting Card,216,912,Ghi,2,25000,Ahmedabad
110,Phone Cases,249,914,Hriday,8,500,Vadodra
114,Animal Toys,126,918,Ghi,5,7652,Ahmedabad
110,Office Gifts,1193,911,Hriday,6,2404,Ahmedabad
163,Customized Bottle,557,911,Deep,24,2301,Nadiad
147,Phone Cases,413,916,Vishwam,11,500,Vadodra
112,Phone Cases,276,919,Vishwam,10,6062,Surat
121,Animal Toys,797,915,Zaki,100,5164,Ahmedabad
117,Hoardings,100,916,Zaki,5,936,Surat
148,Hoardings,100,911,Vishwam,4,726,Surat
162,Animal Toys,760,911,Vishwam,5,3903,Ahmedabad
117,Sipper,178,914,Zaki,2,500,Surat
139,Customized Bottle,253,918,Zaki,14,2562,Nadiad
126,Office Gifts,277,916,Dev,3,1586,Matar
162,Customized Bottle,463,919,Zaki,2,1961,Vadodra
119,Visiting Card,866,911,Abc,100,8361,Ahmedabad
110,Show Piece,294,919,Dhruv,7,500,Matar
137,Banner Printing,333,911,Dhruv,2,1923,Ahmedabad
148,Lightning Gift,582,921,Jkl,6,500,Vadodra
117,Office Gifts,620,914,Ghi,5,1181,Ahmedabad
154,Phone Cases,530,917,Zaki,9,6187,Ahmedabad
110,Lightning Gift,635,919,Jkl,2,500,Vadodra
141,Hoardings,479,922,Jkl,2,500,Vadodra
154,Banner Printing,196,918,Dhruv,8,7424,Surat
126,Lippan Art,358,918,Naitik,3,1712,Matar
145,Hoardings,1299,914,Def,2,500,Surat
110,Animal Toys,1299,915,Naitik,7,1809,Ahmedabad
123,Visiting Card,261,912,Dhyey,2,9214,Kheda
113,Lippan Art,295,914,Dhruv,12,8947,Vadodra
144,Phone Cases,100,916,Vishwam,2,500,Surat
112,Lippan Art,434,913,Dhyey,5,500,Kheda
142,Lightning Gift,636,920,Naitik,3,500,Ahmedabad
118,Photo Frames,560,917,Deep,3,18799,Matar
137,Lightning Gift,622,921,Vishwam,9,500,Ahmedabad
141,Phone Cases,312,920,Jkl,2,2022,Vadodra
110,Hoardings,100,913,Dhruv,10,1838,Surat
144,Office Gifts,711,920,Deep,17,8141,Nadiad
114,Animal Toys,443,920,Dhyey,31,826,Kheda
115,Photo Frames,384,912,Dhruv,20,11275,Matar
124,Office Gifts,306,911,Abc,9,6448,Surat
110,Photo Frames,1299,921,Abc,8,7766,Ahmedabad
149,Banner Printing,523,915,Def,5,500,Surat
140,Visiting Card,571,922,Def,2,500,Ahmedabad
110,Photo Frames,1131,917,Naitik,15,3530,Matar
119,Banner Printing,100,916,Deep,2,2012,Surat
115,Hoardings,722,918,Deep,2,500,Surat
114,Hoardings,100,911,Vishwam,27,8200,Surat
119,Visiting Card,100,916,Dhruv,10,500,Surat
116,Sipper,567,911,Dhyey,73,500,Kheda
115,Banner Printing,133,918,Ghi,11,3922,Ahmedabad
110,Visiting Card,406,911,Abc,22,8564,Ahmedabad
118,Visiting Card,961,917,Naitik,2,9497,Ahmedabad
116,Hoardings,100,916,Dhruv,29,1601,Ahmedabad
125,Animal Toys,379,922,Abc,4,817,Matar
115,Hoardings,395,914,Abc,29,7515,Surat
150,Banner Printing,423,922,Jkl,8,500,Vadodra
144,Lightning Gift,635,919,Jkl,2,7077,Vadodra
138,Photo Frames,417,920,Vishwam,2,1162,Vadodra
110,Visiting Card,100,922,Vishwam,2,701,Ahmedabad
123,Banner Printing,182,919,Ghi,6,603,Surat
110,Lightning Gift,250,915,Deep,2,6324,Kheda
118,Banner Printing,100,918,Dhyey,3,500,Surat
110,Phone Cases,420,915,Dhyey,2,1003,Vadodra
148,Customized Bottle,370,912,Zaki,13,1686,Nadiad
111,Office Gifts,492,920,Abc,2,830,Ahmedabad
125,Animal Toys,339,921,Def,2,6309,Ahmedabad
110,Lippan Art,130,914,Naitik,12,500,Surat
149,Sipper,1299,912,Dhruv,3,22448,Ahmedabad
143,Phone Cases,348,914,Jkl,2,1284,Vadodra
119,Banner Printing,100,918,Dhruv,3,500,Surat
112,Hoardings,152,921,Dhruv,6,512,Matar
124,Phone Cases,486,915,Dhruv,24,6860,Matar
114,Customized Bottle,601,919,Hriday,2,500,Ahmedabad
113,Show Piece,1299,919,Hriday,3,1171,Ahmedabad
121,Banner Printing,100,919,Deep,8,500,Surat
147,Phone Cases,1232,917,Def,2,861,Vadodra
150,Lightning Gift,427,913,Ghi,2,1356,Surat
121,Customized Bottle,201,912,Abc,4,9746,Ahmedabad
115,Lippan Art,391,914,Hriday,18,715,Kheda
135,Customized Bottle,507,918,Deep,24,1293,Ahmedabad
111,Banner Printing,387,913,Vishwam,10,1752,Surat
113,Hoardings,202,920,Dhruv,4,6278,Surat
123,Animal Toys,100,915,Dhruv,5,1506,Surat
112,Lippan Art,689,918,Dhyey,11,25000,Vadodra
150,Sipper,597,918,Hriday,5,1287,Ahmedabad
114,Hoardings,100,912,Naitik,7,613,Surat
146,Show Piece,589,915,Def,2,6657,Vadodra
119,Animal Toys,100,919,Dhyey,100,1403,Matar
110,Hoardings,262,911,Dev,6,2908,Ahmedabad
142,Lippan Art,726,920,Jkl,16,5711,Vadodra
163,Customized Bottle,258,913,Zaki,22,3226,Nadiad
110,Photo Frames,502,920,Deep,4,752,Ahmedabad
163,Customized Bottle,489,915,Hriday,18,6353,Nadiad
114,Phone Cases,374,915,Vishwam,4,5990,Surat
110,Visiting Card,1299,911,Dev,2,1440,Ahmedabad
139,Sipper,751,919,Abc,57,1661,Ahmedabad
111,Show Piece,366,921,Deep,6,500,Ahmedabad
160,Customized Bottle,350,917,Abc,34,9446,Surat
156,Animal Toys,314,919,Zaki,6,5402,Nadiad
145,Lippan Art,479,915,Dhyey,2,14656,Ahmedabad
150,Lippan Art,385,918,Vishwam,2,663,Vadodra
146,Phone Cases,389,917,Vishwam,69,20785,Nadiad
122,Banner Printing,100,913,Naitik,3,19270,Surat
141,Banner Printing,563,919,Zaki,2,933,Surat
163,Sipper,661,918,Zaki,14,3125,Matar
136,Office Gifts,1299,911,Dev,49,8394,Ahmedabad
115,Visiting Card,104,911,Naitik,2,948,Matar
120,Visiting Card,487,918,Abc,12,5920,Ahmedabad
110,Photo Frames,158,919,Ghi,4,504,Surat
154,Office Gifts,343,919,Zaki,2,860,Ahmedabad
118,Customized Bottle,100,917,Dhruv,9,500,Surat
119,Office Gifts,296,911,Dhyey,2,6232,Ahmedabad
148,Customized Bottle,484,917,Def,7,1805,Nadiad
118,Banner Printing,174,918,Naitik,2,500,Ahmedabad
158,Show Piece,509,919,Vishwam,6,8446,Vadodra
110,Hoardings,100,917,Naitik,5,500,Matar
111,Photo Frames,309,913,Vishwam,2,2017,Surat
150,Lightning Gift,745,920,Jkl,2,500,Vadodra
113,Hoardings,408,918,Hriday,8,5405,Ahmedabad
111,Hoardings,300,918,Naitik,11,4199,Surat
120,Office Gifts,722,915,Ghi,16,5191,Surat
133,Show Piece,323,916,Deep,38,500,Ahmedabad
112,Photo Frames,221,915,Ghi,8,500,Surat
124,Office Gifts,511,916,Deep,5,1174,Ahmedabad
151,Lightning Gift,623,917,Zaki,2,1361,Matar
151,Customized Bottle,515,916,Zaki,8,9620,Nadiad
154,Customized Bottle,494,919,Jkl,2,2574,Surat
112,Animal Toys,441,918,Dhruv,11,1014,Ahmedabad
148,Animal Toys,450,917,Hriday,2,625,Ahmedabad
113,Show Piece,414,912,Jkl,2,500,Surat
116,Photo Frames,487,917,Deep,2,5418,Surat
118,Lippan Art,288,914,Ghi,2,771,Surat
163,Customized Bottle,484,919,Zaki,7,1436,Nadiad
150,Phone Cases,548,915,Hriday,7,1785,Surat
113,Banner Printing,401,919,Naitik,2,500,Ahmedabad
145,Show Piece,566,914,Def,2,500,Kheda
110,Hoardings,223,918,Dhruv,12,1102,Surat
122,Lippan Art,151,913,Naitik,18,3753,Surat
135,Office Gifts,515,918,Vishwam,2,500,Ahmedabad
110,Show Piece,379,920,Naitik,11,6580,Surat
110,Hoardings,248,919,Dhruv,9,500,Surat
114,Lippan Art,441,916,Dev,4,20720,Ahmedabad
140,Banner Printing,778,911,Ghi,2,500,Ahmedabad
110,Lippan Art,422,912,Def,2,500,Kheda
124,Customized Bottle,492,917,Zaki,8,9533,Nadiad
117,Visiting Card,405,921,Deep,6,21330,Ahmedabad
120,Banner Printing,432,911,Dev,21,1272,Kheda
121,Hoardings,284,912,Ghi,2,1553,Surat
135,Photo Frames,441,918,Jkl,3,6851,Matar
158,Customized Bottle,501,912,Zaki,28,8283,Vadodra
132,Lightning Gift,491,920,Vishwam,2,500,Ahmedabad
110,Hoardings,100,912,Dhruv,17,1780,Surat
110,Photo Frames,100,917,Dhruv,6,4530,Vadodra
110,Lippan Art,1299,914,Dhyey,12,3708,Kheda
121,Banner Printing,100,912,Dhyey,12,6556,Surat
145,Phone Cases,715,918,Jkl,2,500,Vadodra
112,Lightning Gift,352,911,Hriday,2,846,Ahmedabad
150,Sipper,448,918,Def,5,814,Nadiad
136,Banner Printing,638,915,Dev,2,8315,Ahmedabad
112,Visiting Card,510,912,Abc,9,25000,Ahmedabad
117,Sipper,201,914,Abc,2,500,Ahmedabad
119,Lippan Art,100,914,Naitik,6,500,Surat
110,Hoardings,100,913,Dhruv,33,500,Surat
117,Visiting Card,268,917,Naitik,29,660,Surat
119,Banner Printing,704,920,Hriday,2,525,Ahmedabad
118,Animal Toys,311,918,Vishwam,2,2048,Nadiad
157,Office Gifts,563,915,Def,2,500,Ahmedabad
142,Animal Toys,298,918,Jkl,2,500,Vadodra
149,Show Piece,664,921,Zaki,2,500,Vadodra
124,Animal Toys,388,921,Def,10,8802,Vadodra
114,Lippan Art,391,918,Deep,93,5733,Kheda
115,Phone Cases,596,916,Hriday,3,9312,Vadodra
112,Banner Printing,100,916,Deep,23,500,Matar
123,Phone Cases,130,920,Ghi,2,1658,Surat
119,Animal Toys,382,918,Deep,6,2168,Ahmedabad
144,Phone Cases,523,919,Jkl,2,1401,Vadodra
148,Show Piece,559,917,Ghi,4,1059,Vadodra
110,Phone Cases,619,912,Ghi,2,500,Vadodra
112,Sipper,300,917,Dev,2,8465,Ahmedabad
162,Show Piece,452,913,Dev,100,5350,Nadiad
135,Lightning Gift,575,922,Def,2,663,Vadodra
110,Photo Frames,1299,912,Dev,2,3322,Ahmedabad
118,Photo Frames,372,919,Deep,6,5165,Matar
110,Hoardings,236,915,Vishwam,10,21171,Ahmedabad
115,Hoardings,100,917,Dev,6,1196,Surat
123,Banner Printing,236,913,Ghi,12,4889,Surat
151,Show Piece,280,918,Def,15,2216,Ahmedabad
114,Show Piece,1114,911,Dev,9,3058,Kheda
112,Animal Toys,344,919,Zaki,77,4807,Ahmedabad
138,Customized Bottle,471,913,Hriday,2,887,Nadiad
133,Lightning Gift,317,921,Def,2,949,Vadodra
161,Customized Bottle,436,915,Zaki,32,2360,Nadiad
133,Show Piece,448,920,Def,56,913,Ahmedabad
120,Office Gifts,219,917,Abc,17,11517,Nadiad
111,Visiting Card,126,917,Dhruv,29,7291,Surat
122,Customized Bottle,337,918,Ghi,7,25000,Surat
150,Visiting Card,118,920,Dhruv,12,500,Surat
122,Customized Bottle,656,914,Dhyey,100,25000,Vadodra
114,Hoardings,408,914,Deep,2,2220,Vadodra
130,Photo Frames,1172,911,Ghi,9,7698,Ahmedabad
151,Lippan Art,358,919,Naitik,8,500,Ahmedabad
121,Photo Frames,402,911,Dev,2,500,Matar
110,Lightning Gift,557,918,Abc,2,578,Ahmedabad
110,Office Gifts,461,911,Vishwam,9,25000,Ahmedabad
145,Lightning Gift,495,918,Jkl,2,500,Vadodra
150,Show Piece,569,919,Deep,3,2176,Kheda
145,Show Piece,1299,916,Abc,10,500,Ahmedabad
149,Banner Printing,515,919,Deep,3,1350,Nadiad
111,Lightning Gift,184,916,Dhruv,33,723,Surat
111,Sipper,587,919,Abc,7,500,Kheda
123,Banner Printing,502,915,Hriday,15,1441,Ahmedabad
112,Show Piece,358,914,Ghi,5,1181,Surat
139,Lippan Art,1299,916,Jkl,2,645,Ahmedabad
118,Animal Toys,916,911,Abc,13,500,Surat
120,Show Piece,242,918,Dhruv,41,6398,Surat
145,Lippan Art,555,913,Deep,4,3118,Nadiad
143,Animal Toys,597,919,Def,2,7876,Ahmedabad
161,Customized Bottle,255,911,Zaki,2,6642,Nadiad
118,Lippan Art,329,916,Dhyey,2,6730,Matar
139,Hoardings,203,914,Hriday,7,1330,Ahmedabad
114,Animal Toys,596,921,Ghi,95,1542,Kheda
118,Customized Bottle,692,913,Naitik,20,5794,Nadiad
115,Visiting Card,493,916,Abc,2,7428,Ahmedabad
150,Banner Printing,335,912,Def,2,500,Vadodra
123,Banner Printing,254,915,Deep,2,1213,Matar
149,Phone Cases,636,918,Vishwam,2,1510,Vadodra
117,Lightning Gift,342,922,Def,2,787,Vadodra
155,Sipper,720,916,Def,23,991,Ahmedabad
153,Sipper,580,919,Hriday,2,500,Vadodra
150,Photo Frames,510,916,Zaki,2,1481,Surat
118,Lippan Art,303,918,Dhyey,2,10461,Ahmedabad
141,Lippan Art,640,918,Hriday,8,740,Ahmedabad
135,Visiting Card,1106,911,Dev,5,4970,Ahmedabad
111,Visiting Card,1054,915,Hriday,91,5784,Ahmedabad
117,Office Gifts,1229,912,Deep,15,22581,Nadiad
112,Animal Toys,510,918,Def,2,941,Surat
120,Visiting Card,333,917,Naitik,9,2588,Surat
119,Hoardings,100,911,Naitik,12,1241,Surat
118,Show Piece,539,917,Ghi,2,983,Surat
111,Lippan Art,1299,914,Dhyey,8,10717,Ahmedabad
158,Banner Printing,262,917,Naitik,2,500,Ahmedabad
159,Banner Printing,301,915,Zaki,2,2980,Surat
120,Customized Bottle,423,911,Zaki,18,5660,Nadiad
